Created At,GitHub Handle,Country,Bio,Skills,Twitter Handle,Is Featured
2023-11-12,titoBouzout,🇺🇾,"Solid JS developer for hire. 20+ years making software, passionated about it","JavaScript, Python, PHP",DrawUy,1
2022-04-12,rrjanbiah,🇮🇳,Just another random wannabe SolidJS dev,"JavaScript, Rust, Python, PHP",rrjanbiah,1
